node_id,annotator_id,label,confidence,annotated_at,note
phone_00340,A1,1," 0,86",,"kontak dengan umur yang tergolong baru, disebut laporan dengan persentil 97, dan sudah memiliki tetanggan domain dengan kw 0,87 yang juga tergolong baru, dan lainnya juga."
apk_00024,A1,0,"0,6",,"apk masih baru, tetangga salah satu kontak masih dapat dikatakan tidak mencurigakan karena hanya memiliki 1 laporan, dan tetangga lain ada yang bisa dicurigai tetapi nilai w pada apk ini masih rendah"
bank_account_00133,A1,1,1,,"bank yang masih sangat baru tetapi memiliki transaksi dan nominal yang sangat besar, dan tetangga nya yang bank account lain juga jadi acuan karena sudah memiliki tranksaksi dan nominal yang besar juga, maka dapat dicurigai sebagai pinjol illegal."
social_account_01059,A1,1,"0,8",,
ewallet_00019,A1,1,"0,67",,memiliki banyak laporan dan persentil nya yang tinggi begitupun juga dengan tetangganya
apk_00167,A1,0,"0,75",,
social_account_00307,A1,1,"0,79",,
social_account_00070,A1,1,"0,88",,
bank_account_00022,A1,1,"0,33",,"laporan 4 dan persentil 99 walaupun akun bank sudah lama dan hanya memiliki dikit nominal, dan tetangga phone_00017 disebut 3 laporan"
social_account_01011,A1,0,"0,56",,
domain_00394,A1,1,"0,74",,
bank_account_00392,A1,0,"0,66",,
bank_account_00239,A1,1,"0,8",,
social_account_00305,A1,1,"0,2",,
ewallet_00364,A1,1,"0,57",,
phone_00071,A1,0,"0,5",,
apk_00009,A1,1,"0,75",,
social_account_00246,A1,1,"0,72",,
domain_00659,A1,1,"0,9",,
domain_00038,A1,1,"0,4",,
phone_00478,A1,1,"0,7",,
social_account_00583,A1,1,"0,8",,
social_account_00786,A1,1,"0,78",,
social_account_01283,A1,1,"0,9",,
social_account_00936,A1,1,1,,
ewallet_00405,A1,1,"0,5",,
apk_00002,A1,1,"0,9",,
social_account_00055,A1,1,"0,8",,
bank_account_00090,A1,1,"0,5",,
social_account_01407,A1,0,"0,7",,"reportnya masih perlu diteliti dan w nya juga 0,54"
bank_account_00372,A1,1,"0,6",,
social_account_00496,A1,1,"0,8",,
ewallet_00412,A1,1,"0,7",,
social_account_01262,A1,1,"0,78",,
social_account_00380,A1,1,"0,6",,
social_account_00783,A1,1,"0,8",,
social_account_00281,A1,1,"0,9",,
social_account_00265,A1,1,"0,9",,
phone_00264,A1,1,"0,85",,
social_account_00184,A1,1,"0,75",,
social_account_01270,A1,1,"0,3",,
phone_00363,A1,1,"0,74",,
social_account_01448,A1,1,"0,3",,
social_account_00921,A1,0,"0,5",,
apk_00137,A1,1,"0,7",,
apk_00059,A1,1,"0,78",,
social_account_01246,A1,0,"0,42",,
social_account_00949,A1,0,"0,6",,
social_account_00232,A1,0,"0,5",,
bank_account_00161,A1,1,"0,4",,
domain_00299,A1,1,"0,7",,
social_account_01275,A1,1,"0,5",,
social_account_00369,A1,1,"0,6",,
bank_account_00107,A1,1,"0,78",,
social_account_00251,A1,1,"0,55",,
ewallet_00322,A1,1,"0,67",,
