node_id,annotator_id,label,confidence,annotated_at
phone_00340,A1,1,0.86,2026-07-30T12:07:57+07:00
apk_00024,A1,0,0.60,2026-07-30T12:07:57+07:00
bank_account_00133,A1,1,1.00,2026-07-30T12:07:57+07:00
social_account_01059,A1,1,0.80,2026-07-30T12:07:57+07:00
ewallet_00019,A1,1,0.67,2026-07-30T12:07:57+07:00
apk_00167,A1,0,0.75,2026-07-30T12:07:57+07:00
social_account_00307,A1,1,0.79,2026-07-30T12:07:57+07:00
social_account_00070,A1,1,0.88,2026-07-30T12:07:57+07:00
bank_account_00022,A1,1,0.33,2026-07-30T12:07:57+07:00
social_account_01011,A1,0,0.56,2026-07-30T12:07:57+07:00
domain_00394,A1,1,0.74,2026-07-30T12:07:57+07:00
bank_account_00392,A1,0,0.66,2026-07-30T12:07:57+07:00
bank_account_00239,A1,1,0.80,2026-07-30T12:07:57+07:00
social_account_00305,A1,1,0.20,2026-07-30T12:07:57+07:00
ewallet_00364,A1,1,0.57,2026-07-30T12:07:57+07:00
phone_00071,A1,0,0.50,2026-07-30T12:07:57+07:00
apk_00009,A1,1,0.75,2026-07-30T12:07:57+07:00
social_account_00246,A1,1,0.72,2026-07-30T12:07:57+07:00
domain_00659,A1,1,0.90,2026-07-30T12:07:57+07:00
domain_00038,A1,1,0.40,2026-07-30T12:07:57+07:00
phone_00478,A1,1,0.70,2026-07-30T12:07:57+07:00
social_account_00583,A1,1,0.80,2026-07-30T12:07:57+07:00
social_account_00786,A1,1,0.78,2026-07-30T12:07:57+07:00
social_account_01283,A1,1,0.90,2026-07-30T12:07:57+07:00
social_account_00936,A1,1,1.00,2026-07-30T12:07:57+07:00
ewallet_00405,A1,1,0.50,2026-07-30T12:07:57+07:00
apk_00002,A1,1,0.90,2026-07-30T12:07:57+07:00
social_account_00055,A1,1,0.80,2026-07-30T12:07:57+07:00
bank_account_00090,A1,1,0.50,2026-07-30T12:07:57+07:00
social_account_01407,A1,0,0.70,2026-07-30T12:07:57+07:00
bank_account_00372,A1,1,0.60,2026-07-30T12:07:57+07:00
social_account_00496,A1,1,0.80,2026-07-30T12:07:57+07:00
ewallet_00412,A1,1,0.70,2026-07-30T12:07:57+07:00
social_account_01262,A1,1,0.78,2026-07-30T12:07:57+07:00
social_account_00380,A1,1,0.60,2026-07-30T12:07:57+07:00
social_account_00783,A1,1,0.80,2026-07-30T12:07:57+07:00
social_account_00281,A1,1,0.90,2026-07-30T12:07:57+07:00
social_account_00265,A1,1,0.90,2026-07-30T12:07:57+07:00
phone_00264,A1,1,0.85,2026-07-30T12:07:57+07:00
social_account_00184,A1,1,0.75,2026-07-30T12:07:57+07:00
social_account_01270,A1,1,0.30,2026-07-30T12:07:57+07:00
phone_00363,A1,1,0.74,2026-07-30T12:07:57+07:00
social_account_01448,A1,1,0.30,2026-07-30T12:07:57+07:00
social_account_00921,A1,0,0.50,2026-07-30T12:07:57+07:00
apk_00137,A1,1,0.70,2026-07-30T12:07:57+07:00
apk_00059,A1,1,0.78,2026-07-30T12:07:57+07:00
social_account_01246,A1,0,0.42,2026-07-30T12:07:57+07:00
social_account_00949,A1,0,0.60,2026-07-30T12:07:57+07:00
social_account_00232,A1,0,0.50,2026-07-30T12:07:57+07:00
bank_account_00161,A1,1,0.40,2026-07-30T12:07:57+07:00
domain_00299,A1,1,0.70,2026-07-30T12:07:57+07:00
social_account_01275,A1,1,0.50,2026-07-30T12:07:57+07:00
