condition,scope,auprc,recall,recall_at_50,recall_at_100,macro_f1,precision,roc_auc,ece,brier,n,n_pos,pos_rate,repeat_seed,best_epoch,val_auprc_weak,n_supervised,budget,n_annotations_used,n_annotations_positive,seed,annotation_source,is_fixture
A2_feedback_langsung,entity,0.6644509103207196,0.9074074074074074,0.5370370370370371,0.6666666666666666,0.5354722011381616,0.19215686274509805,0.892914653784219,0.3370735395587569,0.2863680572187783,583.0,54.0,0.09262435677530018,42,125,0.923005263440619,8,10,8,8,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,all,0.5658448585336668,0.9074074074074074,0.5,0.6111111111111112,0.5102665293983071,0.1540880503144654,0.8759578544061302,0.3785411417392123,0.3076053564414132,750.0,54.0,0.072,42,125,0.923005263440619,8,10,8,8,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,entity,0.6510704266757873,0.8703703703703703,0.5185185185185185,0.7037037037037037,0.5577832071795854,0.20434782608695654,0.8936848001120212,0.2929227467094834,0.2540386459452533,583.0,54.0,0.09262435677530018,43,109,0.9208548936982294,8,10,8,8,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,all,0.6124383875196465,0.8703703703703703,0.5185185185185185,0.6296296296296297,0.5349946801860531,0.16607773851590105,0.8867071094082588,0.32024612686525855,0.25932530672724236,750.0,54.0,0.072,43,109,0.9208548936982294,8,10,8,8,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,entity,0.6179166876904125,0.8703703703703703,0.5,0.6296296296296297,0.5501968193985198,0.19915254237288135,0.8818175453336133,0.2943265434491291,0.25991872590047277,583.0,54.0,0.09262435677530018,44,143,0.9240649432120043,8,10,8,8,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,all,0.5735338213857191,0.8703703703703703,0.48148148148148145,0.5555555555555556,0.5331305786131881,0.1649122807017544,0.8694125159642401,0.32586744943678414,0.26622624321606275,750.0,54.0,0.072,44,143,0.9240649432120043,8,10,8,8,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,entity,0.629762887044247,0.8703703703703703,0.5185185185185185,0.6666666666666666,0.5364930002112419,0.1902834008097166,0.8864384233004271,0.3228085519961533,0.2805116319576568,583.0,54.0,0.09262435677530018,45,91,0.9214042844792928,8,10,8,8,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,all,0.572571919394606,0.8703703703703703,0.48148148148148145,0.6111111111111112,0.5193303162067027,0.15666666666666668,0.8770221370796084,0.3415432094431117,0.28544367462826903,750.0,54.0,0.072,45,91,0.9214042844792928,8,10,8,8,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,entity,0.6395503300817378,0.8888888888888888,0.5555555555555556,0.6481481481481481,0.5434647595020696,0.19591836734693877,0.8900791150318561,0.3161396569927216,0.27387683500092413,583.0,54.0,0.09262435677530018,46,110,0.9173223160206313,8,10,8,8,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A2_feedback_langsung,all,0.5242468099267078,0.8888888888888888,0.46296296296296297,0.6111111111111112,0.5276313856892847,0.16271186440677965,0.8741219667943806,0.35217341225831694,0.2854433313391727,750.0,54.0,0.072,46,110,0.9173223160206313,8,10,8,8,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,entity,0.6705193191230979,0.9074074074074074,0.5740740740740741,0.6851851851851852,0.5404466784714685,0.1952191235059761,0.9027165161380662,0.3281939440556706,0.28209755793880464,583.0,54.0,0.09262435677530018,42,117,0.9159182406674136,26,10,8,8,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,all,0.581026691656483,0.9074074074074074,0.46296296296296297,0.6296296296296297,0.5138942233830082,0.15605095541401273,0.8847914005959984,0.3713521453734242,0.30312462309499905,750.0,54.0,0.072,42,117,0.9159182406674136,26,10,8,8,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,entity,0.6581055535470222,0.9259259259259259,0.5185185185185185,0.7037037037037037,0.5575512269162661,0.2074688796680498,0.902086396415319,0.31825555826015683,0.275556586413381,583.0,54.0,0.09262435677530018,43,111,0.923339555384812,26,10,8,8,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
