model,split,scope,auprc_mean,auprc_std,auprc_count,recall_mean,recall_std,recall_count,recall_at_50_mean,recall_at_50_std,recall_at_50_count,recall_at_100_mean,recall_at_100_std,recall_at_100_count,macro_f1_mean,macro_f1_std,macro_f1_count,precision_mean,precision_std,precision_count,roc_auc_mean,roc_auc_std,roc_auc_count,ece_mean,ece_std,ece_count,brier_mean,brier_std,brier_count,n_mean,n_std,n_count,n_pos_mean,n_pos_std,n_pos_count,pos_rate_mean,pos_rate_std,pos_rate_count
rgcn,test,all,0.3972893498698829,0.1999714800758941,6,0.7905146808655581,0.14038625930416465,6,0.39350672245409085,0.12453800913538537,6,0.5376106297158929,0.19156731402118654,6,0.4689680290255717,0.05867336632931597,6,0.1159490160086128,0.05621604665414542,6,0.7733835900605688,0.12995954662227446,6,0.4145504028162936,0.03856911883789584,6,0.33608973035743345,0.031701421167893526,6,750.0,0.0,6,44.833333333333336,16.2777967387072,6,0.059777777777777784,0.02170372898494293,6
rule_based,test,all,0.11738383594436164,0.0603072063373219,6,0.8073937635341144,0.09251323149848982,6,0.2235454077559341,0.10810294960244789,6,0.2776646899453917,0.12230863434000025,6,0.39238791467339434,0.04087236274825081,6,0.08948723433096349,0.03931118402379934,6,0.677819437298624,0.09308670153002033,6,0.47746666760080386,0.030033285333466803,6,0.35144222333676295,0.021259890048136203,6,750.0,0.0,6,44.833333333333336,16.2777967387072,6,0.059777777777777784,0.02170372898494293,6
mlp,test,all,0.13764737861622744,0.08158244512913918,6,0.6026706772320808,0.09833875817151753,6,0.15195077475779228,0.10117918207486798,6,0.2542778463831095,0.08644630511386832,6,0.38798600210036666,0.038415660763074524,6,0.07143761261515653,0.03211872404537627,6,0.5606070876315324,0.06129329661873187,6,0.44697395201813844,0.03728933173755482,6,0.32339773850953835,0.02914849490749072,6,750.0,0.0,6,44.833333333333336,16.2777967387072,6,0.059777777777777784,0.02170372898494293,6
xgb_graph,test,all,0.2577811183697439,0.11417751696054043,6,0.8094790857948753,0.09380438427951587,6,0.2855769303137724,0.08013071141104623,6,0.4761252963007349,0.09672656225957008,6,0.4927536542912374,0.05091706690101698,6,0.125796352169986,0.05659570218820912,6,0.7729481912835645,0.08865946921924506,6,0.35523199092101354,0.026113629810360865,6,0.26381183799168123,0.025138340268564246,6,750.0,0.0,6,44.833333333333336,16.2777967387072,6,0.059777777777777784,0.02170372898494293,6
gcn_homogeneous,test,all,0.2432079973333351,0.14323629982183606,6,0.8033976718187245,0.14340733222275043,6,0.2980540787558332,0.15048124946350683,6,0.4622373482022604,0.197097208190754,6,0.39492715849394605,0.04608097474716835,6,0.09100758030117578,0.04218589717264663,6,0.732572998562086,0.13930065379155218,6,0.4758631294453291,0.03672362215544298,6,0.40005315724749607,0.047219475979663666,6,750.0,0.0,6,44.833333333333336,16.2777967387072,6,0.059777777777777784,0.02170372898494293,6
rgcn,test,entity,0.4744010769661933,0.22285886803641927,6,0.7905146808655581,0.14038625930416465,6,0.4598760125075914,0.15271173287477535,6,0.5982090631213438,0.17515519283205896,6,0.4807172447034702,0.06713339058701732,6,0.14384358555016935,0.06758825884704145,6,0.78492338528776,0.12943948590657442,6,0.3837093577813875,0.04334023156956878,6,0.3348400058637009,0.03833082837983456,6,567.1666666666666,14.048724734532552,6,44.833333333333336,16.2777967387072,6,0.07885821914538514,0.02795403925001254,6
rule_based,test,entity,0.1495811633205537,0.07460248828600716,6,0.8073937635341144,0.09251323149848982,6,0.2235454077559341,0.10810294960244789,6,0.3063999993824555,0.13488059703218702,6,0.4297731190971617,0.04971163824615647,6,0.12231055660893753,0.05222533393248895,6,0.6830146274376171,0.09562112642429348,6,0.450855353211529,0.0381780390390974,6,0.3415023060126405,0.026854695998794215,6,567.1666666666666,14.048724734532552,6,44.833333333333336,16.2777967387072,6,0.07885821914538514,0.02795403925001254,6
mlp,test,entity,0.18454257372579094,0.09694897746613797,6,0.6026706772320808,0.09833875817151753,6,0.1985084178066634,0.08185449047259638,6,0.29821570172447365,0.07619189682014949,6,0.42680302740077236,0.04894395322277603,6,0.10179454011707063,0.04502312917959519,6,0.5871714774870919,0.05697004782479567,6,0.40350377484052874,0.03721482737773019,6,0.2965264034941793,0.024431168240806652,6,567.1666666666666,14.048724734532552,6,44.833333333333336,16.2777967387072,6,0.07885821914538514,0.02795403925001254,6
xgb_graph,test,entity,0.2665557203321379,0.11523563514421592,6,0.8094790857948753,0.09380438427951587,6,0.2855769303137724,0.08013071141104623,6,0.4761252963007349,0.09672656225957008,6,0.49281219894378014,0.05888707846343146,6,0.14865801045509744,0.06578535431412666,6,0.7522037119769701,0.0892084954796313,6,0.362898450032819,0.03212685648650575,6,0.2950620604990331,0.03456169801162447,6,567.1666666666666,14.048724734532552,6,44.833333333333336,16.2777967387072,6,0.07885821914538514,0.02795403925001254,6
gcn_homogeneous,test,entity,0.5207600413127847,0.25506829368506967,6,0.8033976718187245,0.14340733222275043,6,0.46634840933086547,0.1971361249161226,6,0.5769682831086339,0.24793021494125053,6,0.47526723242192054,0.06418069759078283,6,0.1420062767751202,0.0651325531216183,6,0.7851511051697221,0.1386615542709213,6,0.38338607036798417,0.03564789477930042,6,0.3149354257454043,0.03421322456690781,6,567.1666666666666,14.048724734532552,6,44.833333333333336,16.2777967387072,6,0.07885821914538514,0.02795403925001254,6
rgcn,val,all,0.4464397947836049,0.17233790772399615,6,0.7529130500803604,0.13579243179833425,6,0.38786627539439017,0.1665198011212718,6,0.5356421898623447,0.15439789139940172,6,0.4698848000648519,0.040480261635314284,6,0.1200032234966012,0.04420620856305058,6,0.7579925252369191,0.12330183610783575,6,0.4145422230418052,0.02666806798782169,6,0.34199549907115223,0.02422187698441819,6,750.0,0.0,6,50.833333333333336,11.565754046609614,6,0.06777777777777778,0.015421005395479486,6
rule_based,val,all,0.12809988336383663,0.05361931593288335,6,0.8102380301172323,0.10389121354684346,6,0.19094830088094317,0.07519953338196092,6,0.28738560094229476,0.08126681385227284,6,0.4084984436401082,0.03399270275403685,6,0.10219319920309984,0.033556616525834415,6,0.6813581499534404,0.07769611370406646,6,0.4704111117869616,0.022680364996545112,6,0.3513127786173424,0.020850091743496366,6,750.0,0.0,6,50.833333333333336,11.565754046609614,6,0.06777777777777778,0.015421005395479486,6
mlp,val,all,0.16545342199604898,0.06998600792537425,6,0.5446036781873421,0.13150901589841293,6,0.17577518990933214,0.07943246908805579,6,0.24324632636061672,0.11840158368954194,6,0.39463854480990207,0.028251257965407603,6,0.07618645143129102,0.030828287134800143,6,0.5633915598121234,0.0898145460274811,6,0.43607012336411416,0.019824525403018885,6,0.3139752405507795,0.018148279508209,6,750.0,0.0,6,50.833333333333336,11.565754046609614,6,0.06777777777777778,0.015421005395479486,6
xgb_graph,val,all,0.30859768497053247,0.14815374879037033,6,0.7493002206500111,0.15875026026176478,6,0.3086615289096802,0.11739143961163873,6,0.47297308700115526,0.13430744492853713,6,0.48280841916720396,0.04326851677076522,6,0.12562110298720167,0.0474555729595353,6,0.7601313071103678,0.10657327535942171,6,0.3594025865515093,0.022680875257137512,6,0.27768378932408616,0.01889152362500991,6,750.0,0.0,6,50.833333333333336,11.565754046609614,6,0.06777777777777778,0.015421005395479486,6
