model,ecosystem,seed,auprc,n_pos
rgcn,judol,42,0.7088739016892811,30
rgcn,judol,43,0.33201376423038986,19
rgcn,judol,44,0.09551943476338212,15
rgcn,judol,45,0.3135121501539266,13
rgcn,judol,46,0.7092059988813154,27
rgcn,judol,47,0.6794201539483452,6
rgcn,pinjol,42,0.42256212535077364,13
rgcn,pinjol,43,0.2463853079692997,8
rgcn,pinjol,44,0.0033333333333333335,1
rgcn,pinjol,45,0.008580925247591915,2
rgcn,pinjol,46,0.3475106622219697,22
rgcn,pinjol,47,0.1504301486388177,15
rgcn,both,42,0.3555984923366138,11
rgcn,both,43,0.4174042175145116,10
rgcn,both,44,0.005637380241786392,3
rgcn,both,45,0.35749887272987596,24
rgcn,both,46,0.4829679715989571,14
rgcn,both,47,0.4473959224535519,36
gcn_homogeneous,judol,42,0.5844330587645884,30
gcn_homogeneous,judol,43,0.4003765767138443,19
gcn_homogeneous,judol,44,0.04922622046168264,15
gcn_homogeneous,judol,45,0.46071709249756876,13
gcn_homogeneous,judol,46,0.8725977434262114,27
gcn_homogeneous,judol,47,0.8076131687242799,6
gcn_homogeneous,pinjol,42,0.09458606933700325,13
gcn_homogeneous,pinjol,43,0.407691259060545,8
gcn_homogeneous,pinjol,44,0.002617801047120419,1
gcn_homogeneous,pinjol,45,0.02022739291380222,2
gcn_homogeneous,pinjol,46,0.5413619699397625,22
gcn_homogeneous,pinjol,47,0.37091369986721867,15
gcn_homogeneous,both,42,0.23393480171307868,11
gcn_homogeneous,both,43,0.7198216569082709,10
gcn_homogeneous,both,44,0.006211524454050907,3
gcn_homogeneous,both,45,0.4528256394132186,24
gcn_homogeneous,both,46,0.5999598622761365,14
gcn_homogeneous,both,47,0.6248197910388206,36
xgb_graph,judol,42,0.35485463737521994,30
xgb_graph,judol,43,0.07976914295551707,19
xgb_graph,judol,44,0.12964372218840245,15
xgb_graph,judol,45,0.11664670165410274,13
xgb_graph,judol,46,0.2789703465223576,27
xgb_graph,judol,47,0.35155865659785035,6
xgb_graph,pinjol,42,0.09320602347538309,13
xgb_graph,pinjol,43,0.053776067529238455,8
xgb_graph,pinjol,44,0.004830917874396135,1
xgb_graph,pinjol,45,0.006154833975417355,2
xgb_graph,pinjol,46,0.14237642883048937,22
xgb_graph,pinjol,47,0.06396018141813327,15
xgb_graph,both,42,0.13815499548084023,11
xgb_graph,both,43,0.0964212974895094,10
xgb_graph,both,44,0.007036339439990555,3
xgb_graph,both,45,0.2232409267351136,24
xgb_graph,both,46,0.20860057567603624,14
xgb_graph,both,47,0.18752646230004083,36
mlp,judol,42,0.28858019166382215,30
mlp,judol,43,0.04533852175180196,19
mlp,judol,44,0.03494431108282426,15
mlp,judol,45,0.16492984625805293,13
mlp,judol,46,0.24873772336305278,27
mlp,judol,47,0.37001594654216186,6
mlp,pinjol,42,0.038911971299883094,13
mlp,pinjol,43,0.01651538373706752,8
mlp,pinjol,44,0.004219409282700422,1
mlp,pinjol,45,0.00792736449418477,2
mlp,pinjol,46,0.08498238489170623,22
mlp,pinjol,47,0.03269562815149317,15
mlp,both,42,0.047852508400472026,11
mlp,both,43,0.06287452526125129,10
mlp,both,44,0.009297962195858156,3
mlp,both,45,0.21195152586539823,24
mlp,both,46,0.09269079803004354,14
mlp,both,47,0.13513391044177914,36
rule_based,judol,42,0.15616495527044966,30
rule_based,judol,43,0.050256331423702665,19
rule_based,judol,44,0.0285037747940508,15
rule_based,judol,45,0.05912543649995826,13
rule_based,judol,46,0.1257379155772718,27
rule_based,judol,47,0.02992260227887662,6
rule_based,pinjol,42,0.04478940472455718,13
rule_based,pinjol,43,0.02150418570219619,8
rule_based,pinjol,44,0.0035460992907801418,1
rule_based,pinjol,45,0.00842376741693462,2
rule_based,pinjol,46,0.08148619769104233,22
rule_based,pinjol,47,0.03975700621132192,15
rule_based,both,42,0.03848984406968348,11
rule_based,both,43,0.04658297222022712,10
rule_based,both,44,0.008889689362511402,3
rule_based,both,45,0.10201028268337987,24
rule_based,both,46,0.11197922130950011,14
rule_based,both,47,0.1113370108654381,36
